ID	Location	Latitude	Longitude	Species	Captive	colour	relatedness	newgroup	oldgroup
MW062	Romania	46.128965	25.610115	Canis lupus	wild	#FDCA40	unrelated	DINBAL	DINBAL
MW1171	Romania	46.43	24.79	Canis lupus	wild	#FDCA40	unrelated	DINBAL	DINBAL
MW1169	Romania	46.48	24.82	Canis lupus	wild	#FDCA40	unrelated	DINBAL	DINBAL
MW081	Romania	46.493201	25.745835	Canis lupus	wild	#FDCA40	unrelated	DINBAL	DINBAL
MW082	Romania	46.493201	25.745835	Canis lupus	wild	#FDCA40	unrelated	DINBAL	DINBAL
MW1173	Romania	46.58	25.13	Canis lupus	wild	#FDCA40	unrelated	DINBAL	DINBAL
MW922	Ukraine	48.0167	25.2333	Canis lupus	wild	#FDCA40	unrelated	DINBAL	DINBAL
MW884	Ukraine	50.5301	30.4224	Canis lupus	wild	#FDCA40	unrelated	DINBAL	DINBAL
Chinese_CAN9	China	29.633774	91.0561504	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
Chinese_CAN32	China	31.5903791	84.264246	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
Chinese_CAN11	China	35.7594035	93.6699489	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
Chinese_CAN16	China	35.7594035	93.6699489	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
Chinese_CAN30	China	44.2583554	84.7838073	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
Chinese_CAN24	China	44.9859211	90.7146768	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
Chinese_CAN6	China	45.0191656	102.650335	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
Chinese_CAN7	China	45.0191656	102.650335	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
KoreanWolf5	Korea	36.5886	127.9306	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
MW601	Mongolia	43.19782	107.19761	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
MW561	Mongolia	43.71147	111.91448	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
MW607	Mongolia	47.17159	110.81555	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
MW608	Mongolia	47.17159	110.81555	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
MW610	Mongolia	47.17159	110.81555	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
MW563	Mongolia	47.89048	106.95719	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
MW564	Mongolia	47.89048	106.95719	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
MW574	Mongolia	47.89048	106.95719	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
MW575	Mongolia	47.89048	106.95719	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
MW576	Mongolia	47.89048	106.95719	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
MW577	Mongolia	47.89048	106.95719	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
MW578	Mongolia	47.89048	106.95719	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
MW588	Mongolia	48.73024	98.23747	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
Wang_GW1	Russia	50.843683	84.6522059	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
MW524	Russia	57.443441	127.41704	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
MW525	Russia	57.845394	128.90366	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
MW523	Russia	58.12038	125.029419	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
MW528	Russia	58.963331	131.302699	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
MW526	Russia	59.557867	125.349784	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
MW535	Russia	60.760583	128.023531	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
MW539	Russia	63.349629	124.076338	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
MW540	Russia	63.37469	143.005505	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
MW532	Russia	63.924068	110.477065	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
MW536	Russia	64.789251	127.814014	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
MW531	Russia	64.882755	109.181271	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
MW530	Russia	64.882755	111.577808	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
MW533	Russia	65.650613	110.237129	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
Wang_GW2	Russia	65.6873915	156.795897	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
MW538	Russia	72.384805	114.594015	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
MW886	Ukraine	50.5301	30.4224	Canis lupus	wild	#DB3A34	unrelated	EASIA	EASIA
MW352_merge	Finland	60.54665837	22.59066193	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
W23	Finland	61.25126	26.90788	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
MW413_merge	Finland	61.28629	28.82751	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
