ID	admixture	Location	age	Latitude	Longitude	Species	Label	oldgroup	newgroup	newgroupfull
MW085	8	Germany	2016	52.131392	13.216249	Wolf	Wolf_Modern	Central_European_lowlands	CEL	Central European Lowlands
MW088	8	Germany	2016	52.131392	13.216249	Wolf	Wolf_Modern	Central_European_lowlands	CEL	Central European Lowlands
MW089	8	Germany	2017	53.612651	12.429595	Wolf	Wolf_Modern	Central_European_lowlands	CEL	Central European Lowlands
MW090	8	Germany	2017	51.104541	13.201738	Wolf	Wolf_Modern	Central_European_lowlands	CEL	Central European Lowlands
MW091	8	Germany	2017	52.131392	13.216249	Wolf	Wolf_Modern	Central_European_lowlands	CEL	Central European Lowlands
MW094	8	Germany	2018	52.636704	9.845077	Wolf	Wolf_Modern	Central_European_lowlands	CEL	Central European Lowlands
MW095	8	Germany	2018	51.104541	13.201738	Wolf	Wolf_Modern	Central_European_lowlands	CEL	Central European Lowlands
MW096	8	Germany	2018	52.636704	9.845077	Wolf	Wolf_Modern	Central_European_lowlands	CEL	Central European Lowlands
MW098	8	Germany	2018	52.131392	13.216249	Wolf	Wolf_Modern	Central_European_lowlands	CEL	Central European Lowlands
MW262	8	Poland	2013	51.63869	15.19362	Wolf	Wolf_Modern	Carpathian	CEL	Central European Lowlands
MW263	NA	Poland	2014	51.55846	15.25794	Wolf	Wolf_Modern	Central_European_lowlands	CEL	Central European Lowlands
MW270	8	Poland	2016	51.562	15.0614	Wolf	Wolf_Modern	Carpathian	CEL	Central European Lowlands
MW271	8	Poland	2017	51.60928	14.97246	Wolf	Wolf_Modern	Carpathian	CEL	Central European Lowlands
MW272	8	Poland	2017	54.13323	17.84086	Wolf	Wolf_Modern	Carpathian	CEL	Central European Lowlands
MW273	8	Poland	2017	52.5431	14.76891	Wolf	Wolf_Modern	Carpathian	CEL	Central European Lowlands
MW274	8	Poland	2016	53.2381	15.97129	Wolf	Wolf_Modern	Carpathian	CEL	Central European Lowlands
MW276	8	Poland	2018	53.0496	16.1429	Wolf	Wolf_Modern	Carpathian	CEL	Central European Lowlands
MW277	8	Poland	2018	53.06771	16.54556	Wolf	Wolf_Modern	Carpathian	CEL	Central European Lowlands
MW278	8	Poland	2013	53.39909	16.70848	Wolf	Wolf_Modern	Carpathian	CEL	Central European Lowlands
MW280	8	Poland	2016	53.3845	16.73929	Wolf	Wolf_Modern	Carpathian	CEL	Central European Lowlands
MW281	8	Poland	2016	53.3709	16.65359	Wolf	Wolf_Modern	Carpathian	CEL	Central European Lowlands
MW282	NA	Poland	2017	53.3845	16.74329	Wolf	Wolf_Modern	Central_European_lowlands	CEL	Central European Lowlands
MW283	8	Poland	2017	53.52417	16.41971	Wolf	Wolf_Modern	Carpathian	CEL	Central European Lowlands
MW284	NA	Poland	2018	53.28931	16.14308	Wolf	Wolf_Modern	Central_European_lowlands	CEL	Central European Lowlands
MW285	NA	Poland	2013	52.88775	18.58079	Wolf	Wolf_Modern	Central_European_lowlands	CEL	Central European Lowlands
MW286	8	Poland	2012	52.71581	16.08352	Wolf	Wolf_Modern	Carpathian	CEL	Central European Lowlands
MW287	8	Poland	2017	52.54669	15.07533	Wolf	Wolf_Modern	Carpathian	CEL	Central European Lowlands
MW288	8	Poland	2018	52.7872	15.73189	Wolf	Wolf_Modern	Carpathian	CEL	Central European Lowlands
MW289	8	Poland	2017	52.53113	14.79944	Wolf	Wolf_Modern	Carpathian	CEL	Central European Lowlands
MW290	NA	Poland	2017	52.51208	14.88157	Wolf	Wolf_Modern	Central_European_lowlands	CEL	Central European Lowlands
MW291	8	Poland	2015	52.5454	17.0451	Wolf	Wolf_Modern	Carpathian	CEL	Central European Lowlands
MW292	8	Poland	2016	54.71869	17.27036	Wolf	Wolf_Modern	Carpathian	CEL	Central European Lowlands
MW293	8	Poland	2017	51.13076	15.59971	Wolf	Wolf_Modern	Carpathian	CEL	Central European Lowlands
MW295	8	Poland	2019	50.5737	21.93079	Wolf	Wolf_Modern	Carpathian	CEL	Central European Lowlands
MW1012	NA	Finland	1997	62.5289025	30.4875865	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW1013	5	Finland	2003	62.6734482	30.9116358	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW1015	5	Finland	2008	62.2118357	30.3615205	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW1021	NA	Finland	2020	62.77375	30.98756	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW1022	5	Finland	2006	65.75718	26.91114	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW1024	NA	Finland	2008	64.25504	30.36527	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW1026	5	Finland	2008	64.69315	29.83221	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW1027	NA	Finland	2020	64.68679	28.27584	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW1036	5	Finland	2011	65.97496	25.75565	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW1039	5	Finland	2011	65.14826	29.71752	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW1040	NA	Finland	2020	65.04571	27.36401	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW1041	NA	Finland	2020	65.42658	29.67745	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW1044	NA	Finland	2011	64.64852	29.23017	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW1046	5	Finland	2012	65.6554	29.81049	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW1050	NA	Finland	2020	64.9281774	29.5324003	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW1057	NA	Finland	2016	62.2964953	30.7390734	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW1058	NA	Finland	2020	63.4185184	24.6152109	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW1059	5	Finland	2016	64.187481	26.8876367	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW1060	NA	Finland	2016	64.0860815	25.3156583	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW313	5	Finland	2012	63.743086	27.001454	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW315	5	Finland	2004	61.4495643	29.4624741	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW316	5	Finland	2004	62.1754058	28.8588172	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW318	5	Finland	2005	61.783573	28.1717304	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW320	5	Finland	2009	63.9490052	26.8489407	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW326	5	Finland	2010	61.8357354	27.6200198	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW329	NA	Finland	2011	63.8472605	27.1021965	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW330	5	Finland	2012	63.8891879	26.3127715	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW352	NA	Finland	2017	60.5466584	22.5906619	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW358	5	Finland	1998	66.9168193	28.9154748	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW360	5	Finland	2015	63.5351203	28.0113483	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW361	NA	Finland	2017	63.3737564	28.0958178	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW362	5	Finland	2017	62.9034028	28.5115117	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW363	5	Finland	2017	63.8166336	27.3537502	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW400	5	Finland	1998	62.66788	30.93949	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW402	5	Finland	1998	62.66788	30.93949	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW409	5	Finland	1999	61.55018	29.5024	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW410	NA	Finland	1999	64.88407	28.91171	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW412	5	Finland	1998	61.74291	26.11372	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW413	5	Finland	1999	61.28629	28.82751	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW414	5	Finland	2000	62.66788	30.93949	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW416	5	Finland	2000	64.12874	29.52028	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW421	5	Finland	2000	68.9062	27.02775	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW425	NA	Finland	2001	64.67914	28.48402	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW426	NA	Finland	2001	64.67914	28.48402	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW427	NA	Finland	2001	64.67914	28.48402	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW429	NA	Finland	2001	64.67914	28.48402	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW434	5	Finland	2001	61.55018	29.5024	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW438	NA	Finland	2001	64.12874	29.52028	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW446	NA	Finland	1998	66.83265	28.67011	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW448	NA	Finland	1998	62.8062	30.15538	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW455	NA	Finland	1997	61.92411	25.74815	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW459	NA	Finland	2002	61.55018	29.5024	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW736A	5	Finland	2016	65.43899846	29.7293022	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW737A	5	Finland	2017	66.05745121	29.80523093	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW738A	5	Finland	2017	64.17906905	30.01867883	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW739A	5	Finland	2017	62.258787	30.2493156	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW741A	NA	Finland	2017	63.7973086	29.3591838	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW743A	5	Finland	2017	64.1790691	30.0186788	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW748A	5	Finland	2011	64.67183	29.07741	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW749A	5	Finland	2012	64.9483908	28.29541121	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW750A	NA	Finland	2012	63.9493108	27.0853907	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW752A	NA	Finland	2012	64.9483908	28.2954112	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
