ID	admixturegroup	newgroup	newgroupfull	colour	Location	age	Latitude	Longitude	Species	related	oldgroup
LiaoNingWolf	1	EASIA	Eastern Asian	#DB3A34	China	2020	41.0836561	120.075563	Wolf	Nonrelated	EASIA
MW1075	1	EASIA	Eastern Asian	#DB3A34	Kazakhstan	2020	51	51	Wolf	Nonrelated	EASIA
MW1076	1	EASIA	Eastern Asian	#DB3A34	Kazakhstan	2020	51	51	Wolf	Nonrelated	EASIA
MW1077	1	EASIA	Eastern Asian	#DB3A34	Kazakhstan	2020	51	51	Wolf	Nonrelated	EASIA
MW1078	1	EASIA	Eastern Asian	#DB3A34	Kazakhstan	2020	51	51	Wolf	Nonrelated	EASIA
MW1216	1	EASIA	Eastern Asian	#DB3A34	Kazakhstan	2020	51	53	Wolf	Nonrelated	EASIA
MW497	1	EASIA	Eastern Asian	#DB3A34	Russia	2000	60.97868	32.97086	Wolf	Nonrelated	EASIA
MW522	1	EASIA	Eastern Asian	#DB3A34	Russia	2015	58.823997	126.200618	Wolf	Nonrelated	EASIA
MW523	1	EASIA	Eastern Asian	#DB3A34	Russia	2015	58.12038	125.029419	Wolf	Nonrelated	EASIA
MW524	1	EASIA	Eastern Asian	#DB3A34	Russia	2015	57.443441	127.41704	Wolf	Nonrelated	EASIA
MW526	1	EASIA	Eastern Asian	#DB3A34	Russia	2015	59.557867	125.349784	Wolf	Nonrelated	EASIA
MW528	1	EASIA	Eastern Asian	#DB3A34	Russia	2015	58.963331	131.302699	Wolf	Nonrelated	EASIA
MW530	1	EASIA	Eastern Asian	#DB3A34	Russia	2015	64.882755	111.577808	Wolf	Nonrelated	EASIA
MW531	1	EASIA	Eastern Asian	#DB3A34	Russia	2015	64.882755	109.181271	Wolf	Nonrelated	EASIA
MW532	1	EASIA	Eastern Asian	#DB3A34	Russia	2015	63.924068	110.477065	Wolf	Nonrelated	EASIA
MW533	1	EASIA	Eastern Asian	#DB3A34	Russia	2015	65.650613	110.237129	Wolf	Nonrelated	EASIA
MW534	1	EASIA	Eastern Asian	#DB3A34	Russia	2015	64.774078	125.904257	Wolf	Nonrelated	EASIA
