ID	Location	Latitude	Longitude	Species	Captive	newgroup	colour	unrelated	refpanel	dups	hybrids	related	grouping	newgroup2
MW861	Estonia	57.78915	26.50876	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	MW861	#N/A	hybrid	NA
Tibetanwolf_Ladakh_SRR14777847	India	34.2268	77.5619	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	Tibetanwolf_Ladakh_SRR14777847	Tibetanwolf_Ladakh_SRR14777847	hybrid	NA
Tibetanwolf_Ladakh_SRR14777848	India	34.3976	76.7791	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	Tibetanwolf_Ladakh_SRR14777848	Tibetanwolf_Ladakh_SRR14777848	hybrid	NA
V3064	Sweden	NA	NA	Canis lupus x Canis lupus familiaris	wild	NA	NA	NA	#N/A	#N/A	V3064	V3064	hybrid	NA
V3065	Sweden	NA	NA	Canis lupus x Canis lupus familiaris	wild	NA	NA	NA	#N/A	#N/A	V3065	#N/A	hybrid	NA
V3069	Sweden	NA	NA	Canis lupus x Canis lupus familiaris	wild	NA	NA	NA	#N/A	#N/A	V3069	V3069	hybrid	NA
wSierraMorena	Spain	37.3	-4.3	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	wSierraMorena	#N/A	hybrid	NA
D-79-01	Sweden	67.7597268	21.648905	Canis lupus	wild	NA	NA	NA	D-79-01	#N/A	#N/A	#N/A	ref panel	NA
InnerMongoliaWolf	Mongolia	45.0191656	102.650335	Canis lupus	wild	NA	NA	NA	InnerMongoliaWolf	#N/A	#N/A	#N/A	ref panel	NA
LiaoNingWolf	China	41.0836561	120.075563	Canis lupus	wild	NA	NA	NA	LiaoNingWolf	#N/A	#N/A	#N/A	ref panel	NA
M-05-01	Sweden	64.210038	15.4137242	Canis lupus	wild	NA	NA	NA	M-05-01	#N/A	#N/A	#N/A	ref panel	NA
PortugueseWolf	Portugal	41.619679	-7.6161	Canis lupus	wild	NA	NA	NA	PortugueseWolf	#N/A	#N/A	#N/A	ref panel	NA
Shanxi2Wolf	China	37.6384029	110.156489	Canis lupus	wild	NA	NA	NA	Shanxi2Wolf	#N/A	#N/A	#N/A	ref panel	NA
AW031_merge	Norway	60.658731	11.440397	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	AW031_merge	related	WFIN
AW035_merged	Norway	58.479075	7.209622689	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	AW035_merged	related	WFIN
D-10-53	Sweden	60.1282	18.6435	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	D-10-53	related	WFIN
G47-11	Norway	60.1282	18.6435	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	G47-11	related	WFIN
MW039	Lithuania	54.470509	24.798117	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW039	related	NA
MW1060	Finland	64.0860815	25.3156583	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1060	related	EFIN
750281A	Russia	64.59	56.5	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	750281A	related	VOUR
AW034_merge	Norway	61.516737	10.57900103	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	AW034_merge	related	SCAN
AW038_merged	Norway	61.705849	9.852631869	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	AW038_merged	related	SCAN
AW042SCR_merge	Norway	61.891637	11.316031	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	AW042SCR_merge	related	SCAN
AW043_merged	Norway	58.342349	6.277312	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	AW043_merged	related	SCAN
AW046SCR_merge	Norway	60.658009	12.06028143	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	AW046SCR_merge	related	SCAN
AW047SCR_merge	Norway	60.938755	11.42174195	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	AW047SCR_merge	related	WFIN
AW063SCR_merge	Norway	60.405894	11.08589343	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	AW063SCR_merge	related	SCAN
AW071_merged	Norway	61.603813	10.776709	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	AW071_merged	related	SCAN
AW078_merge	Norway	61.891637	11.316031	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	AW078_merge	related	SCAN
AW080_merge	Norway	61.3169	12.259839	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	AW080_merge	related	WFIN
AW081_merged	Norway	62.118415	8.863348	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	AW081_merged	related	SCAN
AW088_merge	Norway	62.019808	12.037931	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	AW088_merge	related	SCAN
AW089_merged	Norway	61.891637	11.316031	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	AW089_merged	related	SCAN
AW091_merged	Norway	61.134844	11.364088	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	AW091_merged	related	SCAN
AW092_merged	Norway	60.823025	11.349206	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	AW092_merged	related	SCAN
AW100_merge	Norway	60.329646	11.272252	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	AW100_merge	related	SCAN
AW104_merged	Norway	61.301257	11.45727	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	AW104_merged	related	SCAN
